,model_name,model_id,n_components,iterations,self_consistency,score
0,Ground truth,0,2,0,0.07177613140472083,-0.6696324565581054
1,VanillaEM,0,20,2,0.9745632756193748,-0.718670022812933
2,VanillaEM,1,20,3,0.8959293587901707,-0.6804274405850205
3,VanillaEM,2,20,7,0.8968877244299699,-0.6724021298992071
4,VanillaEM,3,20,2,0.9036446353696029,-0.6748169384721205
5,VanillaEM,4,20,7,0.8925826690320153,-0.6725682205502354
6,VanillaEM,5,20,2,0.895082831280053,-0.684887223801998
7,VanillaEM,6,20,2,0.937559161607604,-0.6866834419541983
8,VanillaEM,7,20,2,0.9068494658906081,-0.680206121091836
9,VanillaEM,8,20,4,0.9374881445813534,-0.6752999821429511
10,VanillaEM,9,20,2,0.999351178832079,-0.6829842667996059
11,VanillaEM,10,20,3,0.9478526546382201,-0.675834838177782
12,VanillaEM,11,20,2,0.9362190234487474,-0.6902168551649698
13,VanillaEM,12,20,3,0.8997996550669395,-0.6999674410873729
14,VanillaEM,13,20,6,0.9573221884270384,-0.683444202968028
15,Ground truth,0,2,0,0.07352136765823168,-0.6696324565581054
16,ShiftedEM,0,20,9,0.0880143505556853,-0.670092251921941
17,ShiftedEM,1,20,6,0.1565578591997954,-0.6697270225644828
18,ShiftedEM,2,20,10,0.12599903649728145,-0.670367672602832
19,ShiftedEM,3,20,6,0.13499957894106132,-0.6705991341227818
20,ShiftedEM,4,20,7,0.08615324592578034,-0.6706364911856576
21,ShiftedEM,5,20,21,0.1032175360001618,-0.6708980463492754
22,ShiftedEM,6,20,5,0.16340997418601647,-0.6714807394761415
23,ShiftedEM,7,20,3,0.22689483968613725,-0.6700199076764395
24,ShiftedEM,8,20,5,0.10675888805867426,-0.6707573093855062
25,ShiftedEM,9,20,9,0.1058691302295894,-0.6704030951516757
26,ShiftedEM,10,20,6,0.09243738904725016,-0.6701906855525332
27,ShiftedEM,11,20,5,0.07356741788548976,-0.6705778435760738
28,ShiftedEM,12,20,9,0.1371393055019372,-0.6707863621567101
29,ShiftedEM,13,20,12,0.1497535134834129,-0.670729329273667
